subPlot,Plot#,NearestSage,TransectPair,Date,Litter,Bare,Crypto,Rock,Dung,FirstYearSeedlingDensity,BRTE_A,VUBR_A,ELCA_A,Inv_AG_A,ERCI_A,LASE_A,DESO_A,SATR_A,SIAL_A,LEPE_A,UJ1_A,CETE_A,ALMI_A,TRDU_A,Inv_AF_A,POSE_A,ELEL_A,PASM_A,ORHY_A,CARX_A,ACTH_A,Nat_PG_A,TEGL_A,ERNA_A,GRSP_A,CHVI_A,ARTR_A,Shrub_A,UNK9_A,DEPI_A,UJ10_A,UJ13_A,UJ8_A,Nat_AF_A,PHDI_A,UNKJ4_A,UJ11_A,UJ12_A,UJ14_A,UJ4_A,CABR_A,UJ9_A,UJ7_A,CROC_A,DICA_A,AMIN_A,UJ3_A,UNK11_A,UJ5_A,Nat_PF_A
2-11,J16,>200,A,06/25/16 12:00 AM,98,2,0,0,0,0,6,0,0,6,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-1,J16,>200,B,06/25/16 12:00 AM,93,5,0,0,0,0,10,0,0,10,10,0,0,0,0.5,0,0,0,0,0,10.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-2,J16,>200,B,06/25/16 12:00 AM,27,68,0,2,0,0,2,0,0,2,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-3,J16,>200,B,06/25/16 12:00 AM,95,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-4,J16,>200,B,06/25/16 12:00 AM,88,10,0,0,0,0,3,0,0,3,7,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-5,J16,>200,B,06/25/16 12:00 AM,97,1,0,0,0,0,15,0,0,15,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-6,J16,>200,B,06/25/16 12:00 AM,98,0,0,0,0,0,15,0,0,15,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-7,J16,>200,B,06/25/16 12:00 AM,87,10,0,0,0,0,14,0,0,14,20,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5
1-8,J16,>200,B,06/25/16 12:00 AM,83,12,0,0.5,0.5,0,2,0,0,2,5,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-9,J16,>200,B,06/25/16 12:00 AM,97,2,0,0,0,0,4,0,0,4,9,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-10,J16,>200,B,06/25/16 12:00 AM,96,0,0,0,0,0,17,0,0,17,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-11,J16,>200,B,06/25/16 12:00 AM,97,0,0,0,0,0,12,0,0,12,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-1,J16,>200,B,06/25/16 12:00 AM,98,0,0,0,0,0,10,0,0,10,10,0,0,0,0.5,1,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-2,J16,>200,B,06/25/16 12:00 AM,95,1,0,0,1,0,17,0,0,17,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-3,J16,>200,B,06/25/16 12:00 AM,97,0,0,0,0,0,12,0,0,12,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-4,J16,>200,B,06/25/16 12:00 AM,95,0,0,0,0,0,25,0,0,25,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-5,J16,>200,B,06/25/16 12:00 AM,98,0,0,0,0,0,7,0,0,7,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-6,J16,>200,B,06/25/16 12:00 AM,98,0,0,0,0,0,8,0,0,8,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-7,J16,>200,B,06/25/16 12:00 AM,91,9,0,0,0,0,4,0,0,4,25,0,0,0,0,0,0,0,0,0,25,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-8,J16,>200,B,06/25/16 12:00 AM,93,4,0,0,0,0,12,0,0,12,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-9,J16,>200,B,06/25/16 12:00 AM,97,0,0,0,0,0,14,0,0,14,4,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-10,J16,>200,B,06/25/16 12:00 AM,96,0,0,0,0,0,14,0,0,14,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-11,J16,>200,B,06/25/16 12:00 AM,89,0,0,0,8,0,15,0,0,15,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-1,J16,>200,C,06/25/16 12:00 AM,97,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-2,J16,>200,C,06/25/16 12:00 AM,99,0,0,0,0,0,6,0,0,6,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-3,J16,>200,C,06/25/16 12:00 AM,98,0,0,0,0,0,8,0,0,8,10,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-4,J16,>200,C,06/25/16 12:00 AM,97,0,0,0,0,0,12,0,0,12,18,0,0,0,0.5,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-5,J16,>200,C,06/25/16 12:00 AM,97,0,0,0,0,0,13,0,0,13,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-6,J16,>200,C,06/25/16 12:00 AM,98,0,0,0,0,0,9,0,0,9,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-7,J16,>200,C,06/25/16 12:00 AM,99,0,0,0,0,0,3,0,0,3,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-8,J16,>200,C,06/25/16 12:00 AM,96,0,0,0,0,0,20,0,0,20,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-9,J16,>200,C,06/25/16 12:00 AM,98,0,0,0,0,0,5,0,0,5,13,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-10,J16,>200,C,06/25/16 12:00 AM,91,6,0,0,0,0,12,0,0,12,4,0,0,0,1,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-11,J16,>200,C,06/25/16 12:00 AM,87,10,0,0,1,0,5,0,0,5,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-1,J16,>200,C,06/25/16 12:00 AM,97,0,0,0,0,0,14,0,0,14,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-2,J16,>200,C,06/25/16 12:00 AM,98,0,0,0,0,0,12,0,0,12,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-3,J16,>200,C,06/25/16 12:00 AM,84,15,0,0,0,0,8,0,0,8,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-4,J16,>200,C,06/25/16 12:00 AM,93,5,0,0,0,0,7,0,0,7,6,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-5,J16,>200,C,06/25/16 12:00 AM,98,1,0,0,0,0,9,0,0,9,8,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-6,J16,>200,C,06/25/16 12:00 AM,94,2,0,0,0,0,17,0,0,17,6,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-7,J16,>200,C,06/25/16 12:00 AM,94,0,0,0,0,0,2,0,0,2,5,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-8,J16,>200,C,06/25/16 12:00 AM,5,95,0,0,0,0,3,0,0,3,4,0,0,0,0.5,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-9,J16,>200,C,06/25/16 12:00 AM,95,0,0,0,0,0,20,0,0,20,8,0,0,0,0.5,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-10,J16,>200,C,06/25/16 12:00 AM,86,12,0,0.5,0,0,9,0,0,9,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-11,J16,>200,C,06/25/16 12:00 AM,83,15,0,0.5,0,0,1,0,0,1,15,0,0,0,0.5,0,0,0,0,0,15.5,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-1,J01,0,A,06/25/16 12:00 AM,12,81,5,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-2,J01,0,A,06/25/16 12:00 AM,77,20,1,0,0.5,0,1,0.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-3,J01,0,A,06/25/16 12:00 AM,20,77,1,1,0.5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-4,J01,0,A,06/25/16 12:00 AM,82,15,1,0.5,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-5,J01,0,A,06/25/16 12:00 AM,65,25,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,8,8,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-6,J01,0,A,06/25/16 12:00 AM,4,92,1,1,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-7,J01,0,A,06/25/16 12:00 AM,95,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-8,J01,0,A,06/25/16 12:00 AM,74,20,2,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,30,30,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-9,J01,0,A,06/25/16 12:00 AM,8,86,2,2,1,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-10,J01,0,A,06/25/16 12:00 AM,10,84,3,3,0.5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-11,J01,0,A,06/25/16 12:00 AM,27,70,1,1,0.5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-1,J01,0,A,06/25/16 12:00 AM,14,84,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-2,J01,0,A,06/25/16 12:00 AM,8,90,1,1,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-3,J01,0,A,06/25/16 12:00 AM,76,20,1,1,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-4,J01,0,A,06/25/16 12:00 AM,72,25,1,0.5,0.5,0,15,1,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-5,J01,0,A,06/25/16 12:00 AM,95,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-6,J01,0,A,06/25/16 12:00 AM,97,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-7,J01,0,A,06/25/16 12:00 AM,25,69,1,3,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-8,J01,0,A,06/25/16 12:00 AM,91,0,0,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-9,J01,0,A,06/25/16 12:00 AM,98,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-10,J01,0,A,06/25/16 12:00 AM,82,15,2,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-11,J01,0,A,06/25/16 12:00 AM,88,5,3,0,2,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-1,J01,0,B,06/25/16 12:00 AM,54,40,0,1,3,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-2,J01,0,B,06/25/16 12:00 AM,75,20,0,1,1,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-3,J01,0,B,06/25/16 12:00 AM,88,10,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-4,J01,0,B,06/25/16 12:00 AM,12,80,3,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-5,J01,0,B,06/25/16 12:00 AM,7,88,2,1,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-6,J01,0,B,06/25/16 12:00 AM,88,5,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-7,J01,0,B,06/25/16 12:00 AM,56,40,0,1,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
